共演者,合計,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
蜂谷真紀,31,0,0,0,0,0,0,0,5,7,6,9,1,2,1,0
大村亘,27,0,0,1,1,2,2,6,2,3,4,1,1,1,2,1
小太刀のばら,23,0,0,0,0,1,4,8,4,1,0,0,1,1,3,0
橋爪亮督,22,0,1,1,0,1,1,0,3,3,1,2,3,3,2,1
リンヘイテツ,22,0,0,1,8,3,2,0,1,0,0,2,1,1,2,1
吉岡大輔,21,0,0,0,8,3,0,2,0,0,2,3,3,0,0,0
西山瞳,19,0,0,0,0,0,1,1,2,0,4,4,3,1,1,2
竹内直,19,0,0,0,0,2,1,3,0,0,2,4,5,2,0,0
馬場孝喜,18,0,0,0,0,1,2,2,3,0,1,0,3,3,3,0
今泉総之輔,17,0,1,0,1,5,3,2,1,0,1,1,0,0,2,0
かみむら泰一,17,0,0,0,1,3,3,2,3,1,0,1,1,1,1,0
滝野聡,14,0,0,0,0,1,5,2,0,3,3,0,0,0,0,0
栗田妙子,13,0,1,2,0,0,0,0,0,2,0,2,2,1,2,1
露木達也,12,0,0,0,0,0,0,0,4,3,2,2,0,0,1,0
則武諒,11,0,0,0,0,0,0,1,0,2,1,2,1,2,2,0
田中信正,11,0,0,0,0,4,2,1,1,1,0,0,2,0,0,0
青木タイセイ,10,0,0,0,0,0,0,0,1,2,1,5,1,0,0,0
池長一美,9,0,0,0,0,0,1,0,1,0,0,1,5,1,0,0
中牟礼貞則,9,0,0,0,0,1,0,0,2,2,2,0,0,2,0,0
鈴木央紹,8,0,1,1,0,0,1,0,1,2,1,0,1,0,0,0
江藤良人,8,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0
布施音人,6,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
閑喜弦介,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
津嘉山梢,5,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0
福冨博,5,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
望月慎一郎,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
清水麻八子,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
東海林由孝,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
酒井麻生代,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
関谷友加里,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
藤巻鉄郎,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
市野元彦,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
浅川太平,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
米田正義,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
山崎隼,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
森下周央彌,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
池戸祐太,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
清野拓巳,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
天野丘,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
小畑和彦,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
林栄一,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
白石美徳,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
川本睦子,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
清水勇博,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
服部正嗣,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ませひろこ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
秋元修,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
塙正貴,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
中道みさき,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
吉本章紘,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
岡田佳太,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
小牧良平,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
鹿野亮介,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
佐藤浩一,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
山中一毅,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
北澤大樹,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
土井徳浩,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
岡田ヨシヒロ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
永武幹子,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
安藤信二,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
林正樹,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
岡田ケイタ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
安井鉄太郎,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
牧知恵子,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
山田玲,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
魚返明未,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
中村善郎,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
西村和彦,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
塩谷博之,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
清水絵理子,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
正清泉,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
